motif_id	parent
MIFL
A	MIFL
B	MIFL
C	MIFL
D	MIFL
E	MIFL
F	MIFL
G	MIFL
H	MIFL
J	MIFL
K	MIFL
L	MIFL
M	MIFL
N	MIFL
P	MIFL
Q	MIFL
R	MIFL
S	MIFL
T	MIFL
U	MIFL
V	MIFL
W	MIFL
X	MIFL
Z	MIFL
G50-G79	G10-G99
G50	G50-G79
G60	G50-G79
G70	G50-G79
G80	G10-G99
G100-G199	G10-G399
G100	G100-G199
G110	G100-G199
G120	G100-G199
G130	G100-G199
G150	G100-G199
G200-G299	G10-G399
G200	G200-G299
G210	G200-G299
G220	G200-G299
G230	G200-G299
G240	G200-G299
G250	G200-G299
G260	G200-G299
G270	G200-G299
G280	G200-G299
G300-G399	G10-G399
G300	G300-G399
G310	G300-G399
G350	G300-G399
G360	G300-G399
G370	G300-G399
G400-G499	G
G400	G400-G499
G410	G400-G499
G420	G400-G499
G440	G400-G499
G450	G400-G499
G500-G599	G
G500	G500-G599
G510	G500-G599
G520	G500-G599
G530	G500-G599
G550	G500-G599
G560	G500-G599
G570	G500-G599
G580	G500-G599
G600-G699	G
G610	G
G630	G
G650	G
H0-H199	H
H10	H
H20	H
H30	H
H50	H
H80-H149	H
H80	H80-H149
H90	H
H100	H
H110	H
H120	H
H150	H
H200-H299	H
H210-H239	H200-H299
H210	H210-H239
H220	H200-H299
H240	H200-H299
H300-H499	H
H300	H300-H499
H310-H359	H
H310	H310-H359
H360-H399	H
H360	H360-H399
H400-H459	H
H400	H400-H459
H410	H
H430	H
H440	H
H460	H
H480	H
H490	H
H500-H899	H
H500	H500-H899
H510	H
H530-H899	H
H540	H
H570	H
H580	H
H600	H
H620	H
H630	H
H660	H
H680	H
H690	H
H700	H
H710	H
H720	H
H770	H
H790	H
H810	H
H840	H
H900-H1199	H
H900-H999	H900-H1199
H900-H949	H900-H999
H900	H900-H949
H910	H900-H949
H920	H900-H949
H940	H900-H949
H950-H999	H900-H999
H960	H950-H999
H970	H950-H999
H1000-H1199	H900-H1199
H1010_H1049	H900-H1199
H1010	H1010_H1049
H1020	H900-H1199
H1030	H900-H1199
H1050-H1089	H900-H1199
H1050	H1050-H1089
H1090	H900-H1199
H1110	H900-H1199
H1130	H900-H1199
H1150	H900-H1199
H1180	H900-H1199
H1200-H1399	H
H1200-H1249	H1200-H1399
H1200	H1200-H1249
H1210	H1200-H1249
H1220	H1200-H1249
H1240	H1200-H1249
H1250-H1399	H1200-H1399
H1250-H1299	H1200-H1399
H1250	H1250-H1299
H1260	H1250-H1299
H1270	H1250-H1299
H1280	H1250-H1299
H1290	H1250-H1299
H1300	H1200-H1399
H1320	H1200-H1399
H1360	H1200-H1399
H1370	H1200-H1399
H1400-H1599	H
H1400-H1449	H
H1400	H1400-H1449
H1410	H1400-H1449
H1420	H1400-H1449
H1430	H1400-H1449
H1440	H1400-H1449
H1450-H1499	H
H1450	H1450-H1499
H1460	H
H1470	H
H1480	H
H1500-H1549	H
H1500	H1500-H1549
H1510	H
H1540	H
H1550-H1569	H
H1550	H1550-H1569
H1570-H1599	H
J10	J
J30	J
J50	J
J80	J
J100	J
J120	J
J130	J
J140	J
J150	J
J180	J
J200-J1099	J
J200-J499	J200-J1099
J200	J200-J499
J210	J200-J499
J230-J299	J200-J499
J230	J230-J299
J240	J230-J299
J260	J230-J299
J280	J230-J299
J300-J329	J200-J499
J310	J300-J329
J320	J300-J329
J330-J399	J200-J499
J340	J330-J399
J350	J330-J399
J370	J330-J399
J390	J330-J399
J400-J459	J200-J499
J400	J400-J459
J410	J400-J459
J420	J400-J459
J440	J400-J459
J450	J400-J459
J460	J200-J499
J480	J200-J499
J500-J599	J200-J1099
J510	J500-J599
J530	J500-J599
J550	J500-J599
J570	J500-J599
J580	J500-J599
J600-J799	J200-J1099
J610-J679	J600-J799
J620	J610-J679
J640	J610-J679
J670	J610-J679
J680	J600-J799
J700-J749	J600-J799
J700	J700-J749
J710	J700-J749
J730	J700-J749
J740	J700-J749
J750-J799	J600-J799
J800-J849	J200-J1099
J810	J800-J849
J830	J800-J849
J850-J899	J200-J1099
J860	J850-J899
J870	J850-J899
J880	J850-J899
J890	J850-J899
J900-J999	J200-J1099
J910	J900-J999
J950	J900-J999
J1000-J1099	J200-J1099
J1010	J1000-J1099
J1020	J1000-J1099
J1030	J1000-J1099
J1040	J1000-J1099
J1050	J1000-J1099
J1060	J1000-J1099
J1100-J1699	J
J1100-J1249	J1100-J1699
J1110	J1100-J1249
J1130-J1199	J1100-J1249
J1130	J1130-J1199
J1140	J1130-J1199
J1150	J1130-J1199
J1160	J1130-J1199
J1170	J1130-J1199
J1180	J1130-J1199
J1190	J1130-J1199
J1210-J1229	J1100-J1249
J1230-J1249	J1100-J1249
J1250-J1499	J1100-J1699
J1250	J1250-J1499
J1260	J1250-J1499
J1270	J1250-J1499
J1280	J1250-J1499
J1290	J1250-J1499
J1300	J1250-J1499
J1310	J1250-J1499
J1320	J1250-J1499
J1330	J1250-J1499
J1340	J1250-J1499
J1350	J1250-J1499
J1370	J1250-J1499
J1380	J1250-J1499
J1390	J1250-J1499
J1400	J1250-J1499
J1410	J1250-J1499
J1420	J1250-J1499
J1430	J1250-J1499
J1440	J1250-J1499
J1500-J1649	J1100-J1699
J1500	J1500-J1649
J1510	J1500-J1649
J1530	J1500-J1649
J1540	J1500-J1649
J1550	J1500-J1649
J1560	J1500-J1649
J1580	J1500-J1649
J1600	J1500-J1649
J1650-J1699	J1100-J1699
J1700-J2749	J
J1700-J1729	J1700-J2749
J1710-J1729	J1700-J1729
J1730-J1749	J1700-J2749
J1750-J1849	J1700-J2749
J1750-J1809	J1750-J1849
J1750	J1750-J1809
J1760	J1750-J1809
J1770	J1750-J1809
J1780	J1750-J1809
J1790	J1750-J1809
J1800	J1750-J1809
J1810	J1750-J1849
J1820	J1750-J1849
J1850-J1999	J1700-J2749
J1850-J1899	J1850-J1999
J1850	J1850-J1899
J1860	J1850-J1899
J1870	J1850-J1899
J1880	J1850-J1899
J1900	J1850-J1999
J1910	J1850-J1999
J1920	J1850-J1999
J1930	J1850-J1999
J1960	J1850-J1999
J2000-J2050	J1700-J2749
J2010	J2000-J2050
J2020	J2000-J2050
J2030	J2000-J2050
J2040	J2000-J2050
J2050-J2199	J1700-J2749
J2050	J2050-J2199
J2060	J2050-J2199
J2070	J2050-J2199
J2080	J2050-J2199
J2100	J2050-J2199
J2120	J2050-J2199
J2130	J2050-J2199
J2160	J2050-J2199
J2200-J2259	J1700-J2749
J2200	J2200-J2259
J2210	J2200-J2259
J2220	J2200-J2259
J2260-J2299	J1700-J2749
J2260	J2260-J2299
J2270	J2260-J2299
J2280	J2260-J2299
J2300-J2349	J1700-J2749
J2310	J2300-J2349
J2350-J2369	J1700-J2749
J2370-J2399	J1700-J2749
J2400-J2449	J1700-J2749
J2410	J2400-J2449
J2420	J2400-J2449
J2450-J2499	J1700-J2749
J2450	J2450-J2499
J2460	J2450-J2499
