motif_id	cultural_term
A111.1	(cf. +A116.2). **Showerman; Smith Dragon viii; *Holmberg Baum 84ff. Babylonian: Spence 123ff.; Hindu: Penzer I 270ff.
A111.1	276
A111.1	VII 231; India: Thompson-Balys; Hittite: Garstang The Hittite Empire 305ff.; Gaster Thespis 179. Oceanic: Beckwith Myth 294; So. Am. Indian (Apapocuv' -Guarani): Mi traux RMLP XXXIII 122.
A111.2	Icel.: Boberg.
A111.3	Tahiti: Henry 336.
A111.3.0.1	Greek: Grote I 16.
A111.3.1	Marquesas: Handy 106.
A111.3.2	Tuamotu: Stimson MS (T-G.
A111.3.3	Hawaii: Beckwith Myth 92.
A112	India: Thompson-Balys.
A112.1	Krappe The Review of Religion (1941); India: Thompson-Balys.
A112.1.1	Greek: Spence 132. Icel.: Boberg.
A112.1.1.1	India: Thompson-Balys.
A112.2	Japanese: Anesaki 223.
A112.3	Japanese: Anesaki 224.
A112.4	Icel.: MacCulloch Eddic 139 (Loki)
A112.4	324 (Odin
A112.4	Vili
A112.4	and Ve)
A112.4	Boberg.
A112.4.1	Icel.: Boberg.
A112.4.2	Icel.: Boberg.
A112.5	Icel.: MacCulloch Eddic 153 (Heimdall).
A112.6	Icel.: MacCulloch Eddic 61. Tahiti: Henry 147.
A112.7.1	Marquesas: Handy 107.
A112.7.2	Marquesas: Handy 107.
A112.7.3	Hawaii: Beckwith Myth 186.
A112.7.4	Marquesas: Handy 107.
A112.8	Irish myth: Cross.
A112.9	India: Thompson-Balys.
A112.9.1	India: Thompson-Balys.
A112.10	Polynesia: Beckwith Myth 257.
A112.11	Easter Is.: Mi traux Ethnology 130.
A113	Babylonian: Spence 93; India: *Thompson-Balys; Irish myth: Cross.
A114.1	Greek: Roscher I 402; *Frazer Pausanias III 544.
A114.1.1	Minahassa (Celebes): Dixon 157.
A114.1.1.1	India: Thompson-Balys.
A114.1.1.2	Hawaii: Beckwith Myth 82.
A114.2	Tahiti: Henry 337; Marquesas: Handy 104. So. Am. Indian (Huamachuco): Mi traux RMLP XXXIII 151.
A114.2.1	Hawaii: Beckwith Myth 169.
A114.3	Easter Is.: Mi traux Ethnology 312.
A114.4	Hawaii: Beckwith Myth 279
A114.4	284. So. Am. Indian (Tembi ): Mi traux RMLP XXXIII 122.
A115.1	Japanese: Anesaki 222.
A115.2	Norse: MacCulloch Eddic 328 (Tuisto).
A115.3	Hawaii: Beckwith Myth 71.
A115.4	: Beckwith Myth 224.
A115.5	Marquesas: Handy 138.
A115.6	Tahiti: Henry.
A115.7	India: Thompson-Balys.
A116	*Harris Twins
A116	Boanerges
A116	"Picus who is also Zeus; Krappe Etudes de mythologie 137ff.; G' ntert Weltkts nig 253ff.; S. Eitrem Die gts ttlichen Zwillinge bei den Griechen (Christiania 1902); H. Gri goire Saints jumeaux et dieux cavaliers (Paris 1905); J.R. Harris The Dioscuri in the Christian Legends (London 1903); Krappe The Classical Journal XVIII (1923) 502ff.; Zeitschrift f' r Ethnologie LXVI (1929) 187ff.;  ""Les dieux jumeaux dans la religion germanique"" Acta Philologica Scandinavica (1930); Review of Religion (1944) 123ff.; Revue Celtique XLIX (1932) 96ff; P. Saintyves"
A116	"""Les Jumeaux"
A116	dans l'ethnographie et la mythologie
A116	"""  Revue Anthrop. Germanic: Helm Altgermanische Religionsgeschichte I 321ff.; Irish myth: Cross; Greek: Fox 26; Armenian: Ananikian 40; Hindu: Keith 30f. Am."
A116.1	Harris Twins 4ff.
A116.2	Irish myth: Cross.
A116.2.1	India: Thompson-Balys.
A117.1	India: Thompson-Balys.
A117.2	India: *Thompson-Balys; Maori: Clark Maori Folk Tales 167.
A117.3	Hawaii: Beckwith Myth 67.
A117.4	Maori: Beckwith Myth 250.
A117.5	Easter Is.: Mi traux Ethnology 316.
A118	Tahiti: Henry 336f.
A119.1	Tahiti: Henry 341. So. Am. Indian (Apapocuvb -Guarani): Mi traux RMLP XXXIII 122.
A119.2	Tahiti: Beckwith Myth 178.
A119.3	Tonga: Gifford 199; Hawaii: Beckwith Myth 2
A119.3	3
A119.3	11.
A120	(cf. +A18f.) . Jewish: *Neuman.
A120.1	Irish myth: Cross.
A120.2	Hawaii: Beckwith Myth 127.
A120.3	Jewish: Neuman.
A120.4	Tonga: Beckwith Myth 128.
A121	H. Gressmann Die hellenistische Gestirn-religion (Leipzig 1925); Gaster Thespis 228f.
A121.1	(cf. +A240). Jewish: Neuman.
A121.2	(cf. +A220). Jewish: Neuman; Hawaii: Beckwith Myth 217.
A122	Hindu: Keith 76; cf. Greek: Grote I 3.
A123	Jewish: Neuman.
A123.1.1	Greek: Fox 188.
A123.1.2	Tahiti: Henry 344.
A123.1.3	Marquesas: Handy 124.
A123.1.4	Hawaii: Beckwith Myth 30.
A123.1.5	Hawaii: Beckwith Myth 30.
A123.1.6	Hawaii: Beckwith Myth 30.
A123.1.7	Hawaii: Beckwith Myth 496.
A123.2	Jewish: Neuman.
A123.2.1.1	*Krappe Balor 7 n. 24; Usener IV 347ff.; *Frazer Ovid II 95ff; India: Thompson-Balys.
A123.2.1.2	*Krappe Balor 8 n. 28. Chinese: Werner 324.
A123.2.1.3	"Greek: Roscher ""Ianus""; Jewish: Neuman; India: Thompson-Balys."
A123.2.1.4	Jewish: Neuman.
A123.2.1.5	Hindu: Penzer I 73 n. 1
A123.2.1.5	II 102.
A123.2.2.1	Hawaii: Beckwith Myth 506.
A123.2.2.2	Tonga: Gifford 168.
A123.3.1	*Krappe Balor 19ff. Hindu: Penzer II 46 n. 4
A123.3.1	VIII 75
A123.3.1	116
A123.3.1	IX 19; Keith 110
A123.3.1	134; Chinese: Werner 144.
A123.3.1.1	*Usener IV 224 n. 1; *Frazer Pausanias III 209; Buddhist myth: Malalasekera II 32; India: Thompson-Balys.
A123.3.1.2	Irish myth: Cross; India: Thompson-Balys.
A123.3.1.3	India: Thompson-Balys.
A123.3.1.4	India: Thompson-Balys.
A123.3.1.4.1	India: Thompson-Balys.
A123.3.2	Hawaii: Beckwith Myth 30; Buddhist myth: Malalasekera II 32.
A123.4.1	Slavic (Elbe): Mbchal 283f.
A123.4.1	Boberg. Chinese: Werner 241
A123.4.1	321.
A123.4.1.1	Irish myth: Cross.
A123.4.1.2	India: Thompson-Balys.
A123.4.1.3	Tahiti: Beckwith Myth 209.
A123.4.2	Hawaii: Beckwith Myth 88.
A123.5.1	Hindu: Keith 110; Chinese: Werner 144
A123.5.1	"324. Cf. Greek: Roscher ""Briareos""; India: *Thompson-Balys; Irish Myth: Cross."
A123.5.2	Jewish: Neuman.
A123.6.1	India: Thompson-Balys.
A123.7.1	Hindu: Keith 81 (Shiva).
A123.7.2	Icel.: *Boberg
A123.7.2	MacCulloch Eddic 304; W. Golther Deutsche Myth.
A123.8	India: Thompson-Balys.
A123.9	India: Thompson-Balys.
A123.10	India: Thompson-Balys.
A123.11	: Clark 140; Fiji: Beckwith Myth 76; Tahiti: Beckwith Myth 113.
A124	Icel.: MacCulloch Eddic 129 (Balder); India: *Thompson-Balys.
A124.0.1	Irish myth: Cross; Jewish: Neuman.
A124.1	Hindu: Penzer VI 31 n. 1; India: *Thompson-Balys.
A124.2	Icel.: MacCulloch Eddic 152 (Heimdall)
A124.2	129 (Balder).
A124.3	India: Thompson-Balys.
A124.4	Jewish: Neuman.
A124.5	Hawaii: Beckwith Myth 113.
A125	Irish myth: Cross; Jewish: Neuman; Samoa: Henry 346.
A125.1	Irish myth: Cross.
A125.1.1	Irish myth: Cross.
A125.2	Icel.: *Boberg.
A125.3	Icel.: MacCulloch Eddic 153 (Heimdall).
A125.4	So. Am. Indian (Huarochiri): Mitraux RMLP XXXIII 169.
A128	Egyptian: M'ller 92ff.; Jewish: Neuman; Greek: Argonautica IV line 984 (Chronos); India: Thompson-Balys.
A128.1	Htsdhr. Icel.: Boberg
A128.1	De la Saussaye 268. India: Thompson-Balys; Chinese: Werner 284.
A128.2	Harrison (Jane E.) Prolegomena to the Study of Greek Religion 194; Holmberg Finno-Ugric 179. Irish myth: Cross; Icel.: Boberg
A128.2	De la Saussaye 226
A128.2	MacCulloch Eddic 21; Jewish: Neuman.
A128.2.1	Irish myth: Cross.
A128.2.2	Irish myth: Cross.
A128.3	Borneo: Dixon 165.
A128.3.1	Irish myth: Cross.
A128.4	*Krappe Itudes 11ff. Icel.: Boberg
A128.4	MacCulloch Eddic 21 (Tyr); Irish myth: Cross.
A128.5	Greek: Fox 205 (Hephaistos).
A128.5.1	Icel.: MacCulloch Eddic 159 (Vidarr).
A131	*De Visser Die nicht menschengestaltigen Gtstter der Griechen (Leiden 1903). Egyptian: M'ller 15ff. Mexican: Alexander Lat. Am. Irish myth: Cross.
A131.1	Babylonian: Spence 151 (Dagon); Assyrian: ibid. Samoa: Beckwith Myth 76.
A131.2	Hindu: Penzer II 99ff.
A131.2	125 n. 1
A131.2	147 n. 1
A131.2	170
A131.2	III 155 n. 2
A131.2	V 196
A131.2	VII 131
A131.2	IX 1.
A131.3.1	Irish myth: Cross.
A131.3.2	Tonga: Beckwith Myth 178.
A131.3.3	(cf. +A132.14). Egyptian: M'ller 135
A131.3.3	405. Irish myth: Cross.
A131.4	Hindu: Keith 81
A131.4	111; India: Thompson-Balys.
A131.5	Greek: Fox 267 (Pan).
A131.6	Irish myth: Cross; Egyptian: M'ller 38 (Hathors).
A131.7	Jewish: Neuman.
A131.8	India: Thompson-Balys.
A132	*De Visser Die nicht menschengestaltigen Gtstter der Griechen (Leiden
A132	1903). Egyptian: M'ller 15ff.; Chibcha: Alexander Lat. Am.
A132.0.1	India: Thompson-Balys.
A132.0.1.1	India: Thompson-Balys.
A132.0.1.2	Tonga: Beckwith Myth 128.
A132.1	"Smith Dragon 85. Irish myth: Cross; Jewish: Neuman; Hindu: Penzer X 240 s. v. ""Nagas""; India: *Thompson-Balys; Chinese: Eberhard FFC CXX 139. Fiji: Beckwith Myth 138"
A132.1	316.
A132.1.1	India: Thompson-Balys.
A132.2	Chinese: Werner 325ff.; Hindu: Penzer II 73
A132.2	197 n. 2
A132.2	IV 126
A132.2	VIII 44; India: Thompson-Balys.
A132.3.1	Irish myth: Cross; Jewish: Neuman; India: Thompson-Balys.
A132.3.1.1	Irish myth: Cross; Jewish: Neuman.
A132.3.2	Irish myth: Cross.
A132.3.3	Jewish: Neuman.
A132.4	Irish myth: Cross.
A132.5	Irish myth: Cross.
A132.6	Irish myth: Cross.
A132.6.1	Irish myth: Cross. Hawaii: Beckwith Myth 91ff.
A132.6.1	370.
A132.6.2	Irish myth: Cross.
A132.6.3	Jewish: Neuman; Hawaii: Beckwith Myth 119.
A132.6.4	Hawaii: Beckwith Myth 16.
A132.6.5	Tonga: Gifford 62.
A132.7	Irish myth: Cross; India: Thompson-Balys.
A132.8	Irish myth: Cross; Jewish: Neuman.
A132.9	Irish myth: Cross.
A132.9.1	India: Thompson-Balys.
A132.10	India: *Thompson-Balys.
A132.11	Easter Is.: Mitraux Ethnology 310.
